share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.033630069238377844,0.03204576081489057,0.03027312599681021,0.030193560585745075,Canada
0.005934718100890208,0.006982048270926704,0.006319776714513557,0.007262271730227831,Portugal
0.028684470820969338,0.029982547340216617,0.02466108452950558,0.028231865455712324,Australia
0.02274975272007913,0.028337685834405463,0.029136762360446572,0.026551970830920604,France
0.033630069238377844,0.021976767192543295,0.01381578947368421,0.020554165238725934,Netherlands
0.22255192878338279,0.20076464896332383,0.2183213716108453,0.20071559147653464,United States
0.18991097922848665,0.14842045061921014,0.09418859649122807,0.14593084615601384,China
0.0019782393669634025,0.0008593441619228835,0.0022328548644338117,0.0011462917326095,Morocco
0.05341246290801187,0.050677680971679046,0.06268939393939393,0.04804789517748432,United Kingdom
0.020771513353115726,0.015815673138161478,0.014264354066985646,0.015098143843704349,Switzerland
0.03758654797230465,0.04775315461993462,0.02921650717703349,0.046577078346903694,Germany
0.005934718100890208,0.005442513025511595,0.010107655502392345,0.005392389022870384,Singapore
0.016815034619188922,0.038072982239236296,0.07705342902711323,0.04130468179723272,Italy
0.003956478733926805,0.006272326460220634,0.006628787878787879,0.006106889658739588,Mexico
0.005934718100890208,0.005589182304007024,0.007884768740031897,0.006011441100512786,Greece
0.04846686449060336,0.02687099304945117,0.012181020733652313,0.027371010363895356,South Korea
0.0,0.0016123777058759258,0.0013157894736842105,0.001511723355534971,Serbia
0.0,0.0023152090135654317,0.00280103668261563,0.0027670991546893875,Romania
0.005934718100890208,0.010048322113297588,0.005213317384370016,0.009669393465318993,Denmark
0.00791295746785361,0.013027972489174528,0.0068680223285486446,0.012367406044529934,Sweden
0.026706231454005934,0.04176137006824551,0.016467304625199363,0.043835432141074784,Japan
0.003956478733926805,0.006298904114713094,0.003578548644338118,0.006093254150421473,Norway
0.004945598417408506,0.010726544481642224,0.0157396331738437,0.010986583568848863,Turkey
0.002967359050445104,0.007358072864116327,0.008393141945773525,0.007024104851604763,Israel
0.0,0.003468876090052968,0.0035984848484848487,0.0033334272668350804,Chile
0.0019782393669634025,0.0073137767732955605,0.004116826156299841,0.00807494802598746,Russia
0.009891196834817012,0.011012992535616517,0.010127591706539076,0.01082113940125574,Belgium
0.0009891196834817012,0.002875308473054688,0.001465311004784689,0.0029870853555549696,Hungary
0.0009891196834817012,0.00799495221436158,0.00649920255183413,0.00787405153676724,Austria
0.0009891196834817012,0.00022148045410383594,0.00026913875598086123,0.00018907904867785567,Mozambique
0.0,0.00021557430866106698,0.00045853269537480065,0.00021998620086558207,Bosnia and Herzegovina
0.005934718100890208,0.011131115444471897,0.006718500797448166,0.013711867164696032,Poland
0.0,0.0009508894162858023,0.0006080542264752791,0.0010390257338403319,Lithuania
0.0019782393669634025,0.0055911510191546145,0.002551834130781499,0.005184220262547168,Finland
0.013847675568743818,0.02756004335110755,0.031120414673046253,0.029304525443404006,Spain
0.008902077151335312,0.021502306841974187,0.021501196172248802,0.021122311418647375,Brazil
0.005934718100890208,0.013778052960406186,0.020354864433811803,0.01260284582148938,Iran
0.011869436201780416,0.025388550543316162,0.052432216905901115,0.02682740809894652,India
