month,solePubs,collabPubs,solePubsCorona,collabPubsCorona,country
201901,1315.0,1415.0,0.0,2.0,Canada
201901,308.0,294.0,0.0,1.0,Portugal
201901,1202.0,1287.0,1.0,2.0,Australia
201901,936.0,1603.0,2.0,1.0,France
201901,803.0,1108.0,1.0,2.0,Netherlands
201901,9629.0,7853.0,9.0,5.0,United States
201901,10234.0,3050.0,14.0,2.0,China
201901,47.0,21.0,0.0,0.0,Morocco
201901,1524.0,2908.0,0.0,3.0,United Kingdom
201901,449.0,916.0,1.0,1.0,Switzerland
201901,1949.0,2252.0,0.0,2.0,Germany
201901,163.0,329.0,0.0,1.0,Singapore
201901,1880.0,1652.0,0.0,1.0,Italy
201901,261.0,252.0,0.0,0.0,Mexico
201901,212.0,258.0,0.0,1.0,Greece
201901,1847.0,536.0,2.0,0.0,South Korea
201901,53.0,117.0,0.0,0.0,Serbia
201901,76.0,84.0,0.0,0.0,Romania
201901,364.0,517.0,0.0,0.0,Denmark
201901,460.0,694.0,0.0,0.0,Sweden
201901,2809.0,929.0,1.0,0.0,Japan
201901,219.0,342.0,0.0,1.0,Norway
201901,801.0,223.0,0.0,0.0,Turkey
201901,318.0,355.0,0.0,0.0,Israel
201901,152.0,158.0,0.0,0.0,Chile
201901,260.0,244.0,0.0,0.0,Russia
201901,292.0,593.0,0.0,0.0,Belgium
201901,106.0,151.0,0.0,0.0,Hungary
201901,264.0,472.0,0.0,0.0,Austria
201901,2.0,9.0,0.0,0.0,Mozambique
201901,7.0,17.0,0.0,0.0,Bosnia and Herzegovina
201901,642.0,376.0,0.0,0.0,Poland
201901,46.0,50.0,0.0,0.0,Lithuania
201901,164.0,272.0,0.0,0.0,Finland
201901,1169.0,1260.0,0.0,0.0,Spain
201901,1091.0,747.0,0.0,0.0,Brazil
201901,878.0,315.0,0.0,0.0,Iran
201901,1581.0,668.0,0.0,0.0,India
201901,72.0,98.0,0.0,0.0,Colombia
201901,29.0,116.0,0.0,0.0,Vietnam
201901,17.0,36.0,0.0,0.0,Uruguay
201901,558.0,302.0,2.0,0.0,Taiwan
201901,171.0,208.0,0.0,0.0,South Africa
201901,165.0,227.0,0.0,0.0,Ireland
201901,2.0,4.0,0.0,0.0,Nicaragua
201901,47.0,124.0,0.0,0.0,Peru
201901,30.0,32.0,0.0,0.0,Sri Lanka
201901,100.0,72.0,0.0,0.0,Indonesia
201901,0.0,7.0,0.0,0.0,Bolivia
201901,274.0,189.0,0.0,0.0,Egypt
201901,168.0,213.0,0.0,1.0,New Zealand
201901,183.0,317.0,2.0,1.0,Saudi Arabia
201901,104.0,88.0,0.0,0.0,Nigeria
201901,52.0,73.0,0.0,0.0,Lebanon
201901,26.0,48.0,0.0,0.0,United Arab Emirates
201901,48.0,58.0,0.0,0.0,Jersey
201901,147.0,198.0,0.0,0.0,Malaysia
201901,50.0,54.0,0.0,0.0,Tunisia
201901,23.0,85.0,0.0,0.0,Bangladesh
201901,1.0,2.0,0.0,0.0,Honduras
201901,3.0,12.0,0.0,0.0,Costa Rica
201901,28.0,40.0,0.0,0.0,Slovakia
201901,8.0,22.0,0.0,0.0,Latvia
201901,32.0,40.0,0.0,0.0,Nepal
201901,87.0,86.0,0.0,0.0,Georgia
201901,0.0,5.0,0.0,0.0,Liberia
201901,25.0,42.0,0.0,0.0,Bulgaria
201901,193.0,146.0,0.0,0.0,Thailand
201901,2.0,10.0,0.0,0.0,Myanmar
201901,38.0,61.0,0.0,0.0,Ghana
201901,1.0,10.0,0.0,0.0,Grenada
201901,46.0,81.0,0.0,0.0,Slovenia
201901,44.0,91.0,1.0,0.0,Croatia
201901,0.0,2.0,0.0,0.0,Tajikistan
201901,0.0,8.0,0.0,0.0,Guatemala
201901,107.0,210.0,0.0,0.0,Pakistan
201901,11.0,62.0,0.0,0.0,Ukraine
201901,0.0,10.0,0.0,0.0,Montenegro
201901,109.0,167.0,0.0,0.0,Argentina
201901,8.0,30.0,0.0,0.0,Algeria
201901,5.0,19.0,0.0,0.0,Belarus
201901,3.0,20.0,0.0,1.0,Kazakhstan
201901,11.0,48.0,0.0,0.0,Cyprus
201901,7.0,26.0,0.0,0.0,Luxembourg
201901,6.0,5.0,0.0,0.0,Bahrain
201901,115.0,68.0,0.0,0.0,Ethiopia
201901,3.0,16.0,0.0,0.0,Rwanda
201901,11.0,22.0,0.0,0.0,Senegal
201901,12.0,62.0,0.0,0.0,Uganda
201901,8.0,19.0,0.0,0.0,Zimbabwe
201901,23.0,28.0,0.0,0.0,Iraq
201901,0.0,11.0,0.0,0.0,Paraguay
201901,0.0,5.0,0.0,0.0,Dominica
201901,15.0,55.0,0.0,0.0,Tanzania
201901,6.0,26.0,0.0,0.0,Zambia
201901,18.0,30.0,0.0,0.0,Cameroon
201901,41.0,45.0,0.0,0.0,Jordan
201901,4.0,18.0,0.0,0.0,Panama
201901,15.0,102.0,0.0,0.0,Kenya
201901,2.0,8.0,0.0,0.0,Guinea
201901,43.0,84.0,1.0,1.0,Qatar
201901,18.0,49.0,0.0,0.0,Estonia
201901,10.0,28.0,0.0,0.0,Kuwait
201901,9.0,39.0,0.0,0.0,Iceland
201901,3.0,15.0,0.0,0.0,Mali
201901,11.0,23.0,0.0,0.0,Oman
201901,1.0,6.0,0.0,0.0,Yemen
201901,15.0,34.0,0.0,0.0,Ecuador
201901,3.0,23.0,0.0,0.0,Cuba
201901,2.0,11.0,0.0,0.0,Madagascar
201901,1.0,8.0,0.0,0.0,Benin
201901,7.0,20.0,0.0,0.0,Sudan
201901,1.0,12.0,0.0,0.0,Mongolia
201901,0.0,18.0,0.0,0.0,Venezuela
201901,2.0,13.0,0.0,0.0,Armenia
201901,13.0,46.0,0.0,0.0,Philippines
201901,0.0,11.0,0.0,0.0,Democratic Republic of the Congo
201901,0.0,7.0,0.0,0.0,Mauritius
201901,2.0,11.0,0.0,0.0,Malta
201901,1.0,11.0,0.0,0.0,Albania
201901,0.0,1.0,0.0,0.0,Turkmenistan
201901,1.0,20.0,0.0,0.0,Malawi
201901,0.0,9.0,0.0,0.0,Monaco
201901,0.0,3.0,0.0,0.0,Liechtenstein
201901,1.0,3.0,0.0,0.0,Trinidad and Tobago
201901,0.0,7.0,0.0,0.0,Chad
201901,0.0,6.0,0.0,0.0,Uzbekistan
201901,0.0,17.0,0.0,0.0,Cambodia
201901,4.0,26.0,0.0,0.0,Burkina Faso
201901,1.0,8.0,0.0,0.0,Niger
201901,1.0,5.0,0.0,0.0,Azerbaijan
201901,3.0,3.0,0.0,0.0,North Macedonia
201901,0.0,3.0,0.0,0.0,El Salvador
201901,1.0,7.0,0.0,0.0,Dominican Republic
201901,0.0,3.0,0.0,0.0,Saint Kitts and Nevis
201901,0.0,3.0,0.0,0.0,Macao
201901,0.0,1.0,0.0,0.0,Somalia
201901,0.0,0.0,0.0,0.0,San Marino
201901,0.0,3.0,0.0,0.0,Central African Republic
201901,0.0,3.0,0.0,0.0,Fiji
201901,0.0,3.0,0.0,0.0,Curacao
