n_pub,n_pub,country
225.0,21902.0,United States
192.0,9449.0,China
17.0,7730.0,Italy
54.0,6289.0,United Kingdom
12.0,5260.0,India
14.0,3122.0,Spain
34.0,3037.0,Canada
38.0,2931.0,Germany
23.0,2923.0,France
29.0,2474.0,Australia
