corona_pre,corona_post,others_pre,others_post
34.0,3037.0,32555.0,33215.0
6.0,634.0,7093.0,7989.0
29.0,2474.0,30459.0,31057.0
23.0,2923.0,28788.0,29209.0
34.0,1386.0,22326.0,22611.0
225.0,21902.0,203955.0,220801.0
192.0,9449.0,150779.0,160534.0
2.0,224.0,873.0,1261.0
54.0,6289.0,51483.0,52856.0
21.0,1431.0,16067.0,16609.0
38.0,2931.0,48512.0,51238.0
6.0,1014.0,5529.0,5932.0
17.0,7730.0,38678.0,45438.0
4.0,665.0,6372.0,6718.0
6.0,791.0,5678.0,6613.0
49.0,1222.0,27298.0,30110.0
0.0,132.0,1638.0,1663.0
0.0,281.0,2352.0,3044.0
6.0,523.0,10208.0,10637.0
8.0,689.0,13235.0,13605.0
27.0,1652.0,42425.0,48222.0
4.0,359.0,6399.0,6703.0
5.0,1579.0,10897.0,12086.0
3.0,842.0,7475.0,7727.0
0.0,361.0,3524.0,3667.0
2.0,413.0,7430.0,8883.0
10.0,1016.0,11188.0,11904.0
1.0,147.0,2921.0,3286.0
1.0,652.0,8122.0,8662.0
1.0,27.0,225.0,208.0
0.0,46.0,219.0,242.0
6.0,674.0,11308.0,15084.0
0.0,61.0,966.0,1143.0
2.0,256.0,5680.0,5703.0
14.0,3122.0,27998.0,32237.0
9.0,2157.0,21844.0,23236.0
6.0,2042.0,13997.0,13864.0
12.0,5260.0,25792.0,29512.0
2.0,362.0,2540.0,2660.0
4.0,179.0,1636.0,1903.0
1.0,61.0,569.0,546.0
14.0,655.0,10230.0,11151.0
6.0,636.0,5265.0,5644.0
5.0,631.0,4791.0,5340.0
0.0,7.0,55.0,44.0
1.0,458.0,2134.0,2225.0
0.0,71.0,618.0,710.0
2.0,370.0,2660.0,2448.0
0.0,35.0,112.0,93.0
9.0,697.0,5730.0,6892.0
3.0,320.0,4545.0,4488.0
42.0,1306.0,6178.0,8444.0
3.0,466.0,2211.0,2614.0
1.0,190.0,1424.0,1418.0
2.0,314.0,1031.0,1339.0
0.0,69.0,953.0,569.0
7.0,528.0,3999.0,4936.0
2.0,113.0,1168.0,1304.0
0.0,510.0,1213.0,1606.0
0.0,24.0,56.0,75.0
0.0,27.0,306.0,313.0
0.0,39.0,939.0,1209.0
0.0,19.0,370.0,453.0
1.0,191.0,812.0,930.0
2.0,136.0,1689.0,1256.0
0.0,4.0,52.0,32.0
0.0,42.0,878.0,877.0
9.0,373.0,4411.0,5207.0
2.0,18.0,198.0,212.0
3.0,145.0,1050.0,1198.0
0.0,8.0,95.0,99.0
0.0,115.0,1504.0,1827.0
1.0,154.0,1441.0,1715.0
0.0,0.0,39.0,33.0
0.0,22.0,116.0,141.0
2.0,801.0,3860.0,4595.0
0.0,61.0,840.0,906.0
0.0,8.0,77.0,80.0
4.0,330.0,3377.0,3637.0
0.0,68.0,433.0,585.0
0.0,16.0,245.0,284.0
1.0,34.0,340.0,445.0
0.0,101.0,666.0,772.0
1.0,55.0,459.0,525.0
0.0,49.0,163.0,204.0
2.0,266.0,2263.0,3059.0
3.0,28.0,184.0,222.0
0.0,46.0,267.0,267.0
3.0,101.0,895.0,1080.0
0.0,51.0,280.0,312.0
1.0,133.0,676.0,736.0
0.0,18.0,111.0,98.0
0.0,4.0,16.0,18.0
2.0,64.0,798.0,841.0
0.0,38.0,261.0,315.0
0.0,89.0,563.0,635.0
2.0,258.0,1061.0,1237.0
0.0,27.0,220.0,233.0
1.0,150.0,1378.0,1449.0
0.0,29.0,117.0,131.0
5.0,294.0,1214.0,1558.0
0.0,43.0,733.0,730.0
0.0,119.0,444.0,532.0
0.0,17.0,482.0,459.0
0.0,29.0,265.0,240.0
0.0,130.0,457.0,479.0
0.0,32.0,104.0,142.0
1.0,127.0,617.0,654.0
0.0,47.0,278.0,295.0
1.0,12.0,134.0,127.0
0.0,15.0,213.0,181.0
0.0,71.0,297.0,380.0
0.0,5.0,164.0,156.0
0.0,44.0,226.0,231.0
0.0,13.0,179.0,181.0
1.0,171.0,754.0,849.0
0.0,26.0,116.0,107.0
1.0,20.0,86.0,94.0
0.0,39.0,168.0,157.0
0.0,16.0,113.0,143.0
0.0,0.0,3.0,2.0
0.0,26.0,359.0,398.0
0.0,7.0,84.0,90.0
0.0,8.0,7.0,19.0
0.0,13.0,100.0,86.0
0.0,5.0,40.0,35.0
0.0,6.0,56.0,80.0
0.0,15.0,182.0,175.0
0.0,20.0,288.0,267.0
0.0,11.0,76.0,50.0
0.0,13.0,81.0,73.0
0.0,13.0,74.0,102.0
0.0,9.0,27.0,33.0
0.0,16.0,69.0,100.0
0.0,2.0,24.0,44.0
0.0,7.0,36.0,21.0
0.0,7.0,23.0,31.0
0.0,4.0,6.0,19.0
0.0,3.0,24.0,23.0
0.0,10.0,86.0,66.0
0.0,4.0,14.0,13.0
0.0,5.0,18.0,10.0
0.0,9.0,101.0,89.0
0.0,10.0,71.0,84.0
0.0,17.0,70.0,84.0
0.0,14.0,43.0,36.0
0.0,7.0,56.0,60.0
0.0,30.0,136.0,206.0
0.0,14.0,337.0,415.0
0.0,1.0,27.0,15.0
0.0,18.0,119.0,128.0
0.0,20.0,77.0,108.0
0.0,3.0,50.0,47.0
0.0,39.0,61.0,74.0
0.0,7.0,17.0,11.0
0.0,0.0,13.0,12.0
0.0,4.0,9.0,11.0
0.0,3.0,39.0,54.0
0.0,20.0,146.0,177.0
0.0,3.0,4.0,5.0
0.0,5.0,12.0,13.0
0.0,12.0,101.0,98.0
0.0,3.0,16.0,15.0
0.0,1.0,26.0,30.0
0.0,10.0,49.0,55.0
0.0,1.0,29.0,18.0
0.0,1.0,10.0,9.0
0.0,1.0,36.0,32.0
0.0,2.0,28.0,20.0
0.0,1.0,44.0,48.0
0.0,3.0,46.0,43.0
0.0,3.0,8.0,6.0
0.0,23.0,63.0,65.0
0.0,3.0,27.0,22.0
0.0,0.0,9.0,8.0
0.0,0.0,33.0,29.0
0.0,4.0,25.0,24.0
0.0,1.0,22.0,15.0
0.0,9.0,69.0,60.0
0.0,3.0,28.0,24.0
0.0,3.0,29.0,43.0
0.0,0.0,4.0,2.0
0.0,6.0,65.0,53.0
0.0,0.0,1.0,0.0
1.0,1.0,26.0,21.0
0.0,3.0,5.0,7.0
0.0,0.0,5.0,6.0
0.0,0.0,12.0,12.0
0.0,0.0,6.0,10.0
0.0,0.0,21.0,17.0
0.0,2.0,21.0,15.0
0.0,0.0,17.0,13.0
0.0,4.0,1.0,1.0
0.0,0.0,6.0,7.0
0.0,2.0,19.0,30.0
0.0,2.0,5.0,10.0
0.0,1.0,5.0,2.0
0.0,0.0,4.0,4.0
0.0,3.0,2.0,1.0
0.0,0.0,2.0,1.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
