Tau,LCI,UCI,month
0.20317782285327923,0.13915049862376366,0.26720514708278614,2019-01
0.2163141118516372,0.1497197487358048,0.28290847496747473,2019-02
0.24500144885540423,0.17847107213790353,0.3115318255729022,2019-03
0.18023761228629384,0.11815731053557539,0.24231791403701258,2019-04
0.2807398821597605,0.21129926635588636,0.3501804979636437,2019-05
0.21843909977784218,0.1522291840366955,0.28464901551898264,2019-06
0.2677967738819666,0.20041000622071853,0.3351835415432292,2019-07
0.18777166038829324,0.1241683173769867,0.25137500339960034,2019-08
0.25639911136868543,0.18926514808360712,0.32353307465377584,2019-09
0.24466338259441708,0.1756858466671972,0.31364091852163245,2019-10
0.26668598473872307,0.19315007960030262,0.3402218898771492,2019-11
0.2826716893654013,0.21084325065235437,0.3545001280784465,2019-12
0.42567371776296725,0.3563575291224802,0.49498990640346474,2020-01
0.5246305418719212,0.46046125663931936,0.5887998271045161,2020-02
0.6879165459287163,0.63494887766271,0.7408842141947357,2020-03
0.7703081232492998,0.72865638723895,0.8119598592596453,2020-04
0.7730126533371969,0.7310681788626482,0.8149571278117581,2020-05
0.7962426349850285,0.7606698287673814,0.8318154412026308,2020-06
0.7586206896551724,0.7164453838326823,0.8007959954776684,2020-07
0.7514247078141602,0.7075114626739551,0.7953379529543976,2020-08
0.7409929489036994,0.6933181075874267,0.7886677902199745,2020-09
0.759731478798416,0.7161417585837881,0.8033211990130853,2020-10
0.7459673524582247,0.7007110606144037,0.7912236443020527,2020-11
0.7386264850767893,0.6912411635671025,0.7860118065864781,2020-12
