corona_pre,corona_post,others_pre,others_post
28.0,4661.0,28561.0,54625.0
5.0,1072.0,5842.0,12676.0
25.0,3865.0,27002.0,52467.0
21.0,4421.0,25631.0,48067.0
34.0,2267.0,19823.0,37590.0
203.0,33167.0,174691.0,358496.0
179.0,12286.0,129764.0,280523.0
1.0,278.0,641.0,1805.0
50.0,9834.0,44873.0,86015.0
21.0,2367.0,13975.0,27190.0
35.0,5142.0,42050.0,84283.0
5.0,1309.0,4787.0,9694.0
5.0,1206.0,4586.0,9975.0
0.0,242.0,1332.0,2824.0
0.0,488.0,1829.0,4968.0
4.0,997.0,9091.0,17750.0
7.0,1269.0,11597.0,22740.0
22.0,2912.0,35104.0,75265.0
3.0,610.0,5391.0,10834.0
2.0,2660.0,8926.0,20257.0
3.0,1610.0,6722.0,12938.0
0.0,623.0,3057.0,5800.0
0.0,809.0,6317.0,14286.0
10.0,1630.0,9840.0,19540.0
1.0,38.0,198.0,323.0
15.0,11145.0,32630.0,69976.0
0.0,72.0,188.0,425.0
3.0,1479.0,9743.0,27782.0
0.0,124.0,821.0,1966.0
2.0,446.0,4968.0,9449.0
9.0,5191.0,24308.0,52056.0
7.0,3434.0,19523.0,38314.0
4.0,2757.0,10509.0,21949.0
1.0,1182.0,6897.0,13888.0
5.0,5650.0,18585.0,43746.0
1.0,602.0,2014.0,4074.0
2.0,1112.0,5389.0,10415.0
3.0,212.0,1240.0,2654.0
1.0,103.0,490.0,896.0
43.0,2081.0,21292.0,45968.0
14.0,1087.0,8836.0,19247.0
4.0,1017.0,4267.0,8480.0
4.0,1024.0,4118.0,8529.0
0.0,12.0,52.0,69.0
1.0,766.0,1809.0,3536.0
0.0,103.0,459.0,1045.0
1.0,505.0,1594.0,3459.0
0.0,45.0,93.0,147.0
2.0,463.0,3921.0,7429.0
35.0,1711.0,4296.0,13321.0
3.0,567.0,1500.0,3438.0
1.0,294.0,1146.0,2107.0
0.0,412.0,791.0,2311.0
0.0,84.0,907.0,947.0
3.0,802.0,3034.0,7962.0
0.0,651.0,935.0,2560.0
0.0,30.0,44.0,88.0
0.0,42.0,245.0,522.0
5.0,1050.0,4466.0,11028.0
0.0,95.0,800.0,2139.0
1.0,302.0,2529.0,5373.0
0.0,56.0,314.0,700.0
1.0,349.0,601.0,1604.0
2.0,212.0,1578.0,2102.0
0.0,21.0,40.0,56.0
0.0,111.0,704.0,1354.0
6.0,620.0,3478.0,8394.0
2.0,31.0,136.0,309.0
1.0,226.0,792.0,1795.0
0.0,10.0,75.0,125.0
0.0,217.0,1289.0,2963.0
1.0,310.0,1231.0,2895.0
2.0,182.0,961.0,2102.0
0.0,32.0,95.0,203.0
3.0,1118.0,3186.0,8415.0
0.0,114.0,638.0,1478.0
0.0,16.0,52.0,140.0
0.0,64.0,339.0,860.0
0.0,182.0,539.0,1155.0
1.0,93.0,385.0,792.0
0.0,69.0,115.0,300.0
2.0,331.0,1614.0,3501.0
1.0,65.0,144.0,344.0
0.0,72.0,214.0,408.0
2.0,180.0,747.0,1662.0
0.0,97.0,243.0,466.0
4.0,541.0,3039.0,5748.0
1.0,188.0,454.0,1223.0
0.0,32.0,93.0,170.0
0.0,7.0,16.0,27.0
1.0,92.0,660.0,1279.0
