corona_pre,corona_post,others_pre,others_post
0.0,78.0,227.0,529.0
0.0,124.0,437.0,890.0
0.0,43.0,189.0,323.0
1.0,250.0,1122.0,2228.0
1.0,80.0,264.0,703.0
1.0,348.0,803.0,1837.0
4.0,379.0,927.0,2162.0
0.0,75.0,621.0,1200.0
0.0,173.0,348.0,835.0
0.0,33.0,202.0,448.0
0.0,43.0,436.0,768.0
0.0,56.0,240.0,423.0
0.0,184.0,341.0,905.0
0.0,35.0,68.0,220.0
0.0,75.0,241.0,449.0
0.0,40.0,106.0,233.0
1.0,23.0,112.0,204.0
0.0,21.0,172.0,298.0
1.0,206.0,468.0,1027.0
0.0,113.0,220.0,510.0
0.0,15.0,138.0,262.0
0.0,78.0,195.0,389.0
0.0,28.0,146.0,312.0
2.0,413.0,589.0,1308.0
0.0,42.0,97.0,204.0
0.0,57.0,142.0,263.0
0.0,31.0,89.0,207.0
0.0,0.0,2.0,10.0
0.0,60.0,311.0,693.0
0.0,8.0,76.0,147.0
0.0,13.0,5.0,25.0
0.0,7.0,32.0,62.0
0.0,15.0,42.0,126.0
0.0,49.0,245.0,460.0
0.0,15.0,61.0,82.0
0.0,15.0,65.0,118.0
0.0,29.0,61.0,183.0
0.0,25.0,57.0,147.0
0.0,28.0,156.0,279.0
0.0,3.0,19.0,62.0
0.0,5.0,35.0,43.0
0.0,16.0,17.0,49.0
0.0,7.0,6.0,32.0
0.0,6.0,18.0,32.0
1.0,17.0,65.0,145.0
0.0,23.0,75.0,118.0
0.0,2.0,12.0,23.0
0.0,8.0,17.0,18.0
0.0,14.0,78.0,155.0
0.0,15.0,55.0,125.0
0.0,22.0,49.0,138.0
0.0,16.0,32.0,76.0
0.0,31.0,198.0,451.0
0.0,5.0,25.0,24.0
0.0,36.0,97.0,213.0
0.0,9.0,44.0,80.0
0.0,52.0,51.0,141.0
0.0,7.0,14.0,22.0
0.0,52.0,67.0,312.0
0.0,0.0,11.0,24.0
0.0,6.0,7.0,18.0
0.0,6.0,32.0,102.0
0.0,31.0,119.0,250.0
0.0,1.0,32.0,50.0
0.0,7.0,4.0,8.0
0.0,17.0,74.0,130.0
0.0,2.0,19.0,46.0
0.0,11.0,40.0,82.0
0.0,2.0,24.0,35.0
0.0,1.0,8.0,14.0
0.0,8.0,34.0,52.0
0.0,15.0,48.0,79.0
0.0,3.0,26.0,42.0
0.0,3.0,40.0,83.0
0.0,29.0,81.0,130.0
0.0,34.0,68.0,175.0
0.0,10.0,39.0,78.0
0.0,4.0,3.0,11.0
0.0,57.0,51.0,141.0
0.0,3.0,24.0,32.0
0.0,3.0,14.0,35.0
0.0,0.0,6.0,16.0
0.0,0.0,29.0,52.0
0.0,6.0,23.0,46.0
0.0,16.0,21.0,68.0
0.0,2.0,21.0,33.0
0.0,14.0,66.0,107.0
0.0,1.0,22.0,21.0
0.0,6.0,23.0,62.0
0.0,14.0,55.0,92.0
1.0,0.0,23.0,37.0
0.0,1.0,11.0,22.0
0.0,0.0,5.0,7.0
0.0,4.0,16.0,23.0
0.0,5.0,17.0,26.0
0.0,2.0,16.0,18.0
0.0,8.0,1.0,12.0
0.0,7.0,7.0,16.0
0.0,0.0,3.0,9.0
0.0,1.0,5.0,9.0
0.0,6.0,17.0,42.0
0.0,1.0,2.0,14.0
0.0,1.0,3.0,4.0
0.0,0.0,4.0,13.0
0.0,4.0,2.0,2.0
0.0,2.0,3.0,11.0
0.0,0.0,1.0,1.0
0.0,1.0,1.0,9.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,5.0
0.0,0.0,1.0,1.0
