share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.03192702394526796,0.03313068181159092,0.030651970906603886,0.0303991710278231,Canada
0.005701254275940707,0.006776704006978543,0.0070497560205705564,0.007054277198145275,Portugal
0.028506271379703536,0.03132224607949925,0.025417264010732465,0.029198229863923016,Australia
0.02394526795895097,0.029731889832739996,0.029073667319908986,0.026749600984794016,France
0.03876852907639681,0.02299462573268327,0.01490839262932225,0.0209190817196498,Netherlands
0.2314709236031927,0.20264108176704704,0.2181149794162907,0.19950537696641593,United States
0.20410490307867732,0.15052588475891196,0.0807959911088898,0.15611289069543285,China
0.0011402508551881414,0.0007435582452025413,0.0018282016545882601,0.0010044943470063285,Morocco
0.05701254275940707,0.052052557155965115,0.06467098946482355,0.04786791205415477,United Kingdom
0.02394526795895097,0.016210961742130287,0.015566019123778458,0.015131413459890346,Switzerland
0.039908779931584946,0.04877788488419167,0.03381515434493825,0.04690404268627944,Germany
0.005701254275940707,0.005552906895139728,0.008608330812431772,0.005394774625971939,Singapore
0.005701254275940707,0.005319747445396029,0.007930975523141877,0.005551152970298132,Greece
0.0,0.0015451163535254056,0.001591456116584025,0.0015715745351500676,Serbia
0.0,0.002121634992941417,0.003209217292946298,0.002764724607162017,Romania
0.004561003420752566,0.010545535112537134,0.006556536149728401,0.009877991501031764,Denmark
0.00798175598631699,0.013452488252127725,0.008345280214649288,0.012654959252589425,Sweden
0.02508551881413911,0.0407205438995164,0.019150083518564797,0.04188546649719187,Japan
0.0034207525655644243,0.00625354524163323,0.004011521616182873,0.0060291921082917255,Norway
0.002280501710376283,0.010354135564240068,0.01749286475253515,0.011273153455571856,Turkey
0.0034207525655644243,0.007797501597896229,0.01058778656074496,0.007200081917766138,Israel
0.0,0.0035461116311765505,0.00409701306046218,0.0032277380679427733,Chile
0.0,0.007327702706621612,0.005320198340150728,0.007950252765281114,Russia
0.011402508551881414,0.011414373062079574,0.010719311859636201,0.010874138249586515,Belgium
0.0011402508551881414,0.0002296794579564792,0.0002498980678933593,0.00017975161999060616,Mozambique
0.01710376282782212,0.03785071067232281,0.07329247280714446,0.03894210328316612,Italy
0.0,0.00021807948533241462,0.0004734910760084702,0.0002365152894613239,Bosnia and Herzegovina
0.0034207525655644243,0.011301853327626147,0.009726295853007326,0.015460865345445884,Poland
0.0,0.0009523577524357043,0.0008154568531256988,0.0010940919037199124,Lithuania
0.002280501710376283,0.005762866399635297,0.0029330141652746905,0.005258430517929529,Finland
0.010262257696693273,0.028197213454576247,0.034137391327221794,0.02896950566634983,Spain
0.00798175598631699,0.02264662655396133,0.022582893819626203,0.02132199247157921,Brazil
0.004561003420752566,0.012190411230629496,0.018130762452157674,0.012214762560909644,Iran
0.0011402508551881414,0.008000501118817359,0.007773145164472387,0.007728763153032627,Austria
0.005701254275940707,0.02155854912182407,0.03715589693677579,0.02434493612417665,India
0.0011402508551881414,0.002336234486486612,0.003958911496626376,0.002267207739448079,Colombia
0.002280501710376283,0.006251225247108417,0.0073128066183530405,0.005796015858211032,Mexico
0.0034207525655644243,0.0014383966053840114,0.0013941681682471624,0.001476968419365538,Vietnam
0.0011402508551881414,0.0005683986585791657,0.0006773552892898949,0.0004986298808408147,Uruguay
0.04903078677309008,0.02469866171115836,0.013685207349633702,0.025581493708136793,South Korea
0.01596351197263398,0.010249735810623486,0.007148399994738988,0.010711081826499061,Taiwan
0.004561003420752566,0.004949708318688368,0.006688061448619642,0.00471917565795771,South Africa
