Tau,LCI,UCI,month
0.203012912482066,0.13922304726211238,0.2668027777020227,Jan 2019
0.2164514586322334,0.15009586825814702,0.2828070490063233,Feb 2019
0.24505021520803444,0.17872748930133592,0.3113729411147321,Mar 2019
0.18024868483978956,0.11839821950820575,0.2420991501713626,Apr 2019
0.2807747489239598,0.2115483797797613,0.3500011180681515,May 2019
0.21841224294595887,0.15244522029830454,0.2843792655936107,Jun 2019
0.26767097082735536,0.2004906068459426,0.334851334808773,Jul 2019
0.18785270205643234,0.124489122169277,0.25121628194359813,Aug 2019
0.2562888570062171,0.18936856760665405,0.3232091464057784,Sep 2019
0.24476327116212337,0.17601681632524882,0.3135097259989892,Oct 2019
0.26681013868962217,0.19356440606724423,0.3400558713119839,Nov 2019
0.28254423720707794,0.21096096564511663,0.3541275087690408,Dec 2019
0.42549019607843136,0.35634143219008224,0.4946389599667676,Jan 2020
0.5248206599713056,0.46080458350665754,0.5888367364359338,Feb 2020
0.6874701099952176,0.6345210216820074,0.7404191983084365,Mar 2020
0.7708273553323769,0.7293110415211372,0.812343669143637,Apr 2020
0.7731229076996652,0.7313109097461065,0.8149349056531819,May 2020
0.7964131994261119,0.7608855213269661,0.8319408775252348,Jun 2020
0.7589670014347202,0.716938532643208,0.8009954702261862,Jul 2020
0.7516021042563367,0.7077437447496477,0.7954604637629936,Aug 2020
0.7413199426111908,0.6937391943313301,0.788900690891048,Sep 2020
0.759923481587757,0.7163799714346087,0.8034669917408942,Oct 2020
0.7462936394069823,0.7011220161804309,0.7914652626335513,Nov 2020
0.7389287422285987,0.6916089044575784,0.7862485799996006,Dec 2020
0.7615494978479197,0.7190402803394168,0.8040587153564339,Jan 2021
0.7335246293639407,0.6865265966310896,0.7805226620967891,Feb 2021
0.7088474414155906,0.6565645862031462,0.7611302966280289,Mar 2021
0.6681970349115256,0.6057700255684293,0.7306240442546004,Apr 2021
0.6815877570540412,0.6113727105941926,0.7518028035139326,May 2021
