share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.03192702394526796,0.03313068181159092,0.030864714670687948,0.030736022646850672,Canada
0.005701254275940707,0.006776704006978543,0.006876666806294419,0.006933828733191791,Portugal
0.028506271379703536,0.03132224607949925,0.02544715787709965,0.029436777541873082,Australia
0.02394526795895097,0.029731889832739996,0.029356734944637596,0.026902571361170087,France
0.03876852907639681,0.02299462573268327,0.014877337019505997,0.02117775418730833,Netherlands
0.2314709236031927,0.20264108176704704,0.219655398707047,0.2010527246992215,United States
0.20410490307867732,0.15052588475891196,0.08134014716765105,0.15418494928049067,China
0.0011402508551881414,0.0007435582452025413,0.0018291235565981094,0.0009955178108044351,Morocco
0.05701254275940707,0.052052557155965115,0.06563202502129323,0.04842887473460722,United Kingdom
0.02394526795895097,0.016210961742130287,0.015694159371116602,0.015275418730832744,Switzerland
0.039908779931584946,0.04877788488419167,0.03362934416844692,0.04704588346308092,Germany
0.005701254275940707,0.005552906895139728,0.008719753138133736,0.005426987497051191,Singapore
0.005701254275940707,0.005319747445396029,0.007847079685558301,0.0054900920028308564,Greece
0.0,0.0015451163535254056,0.001584774989876988,0.0015445859872611465,Serbia
0.0,0.002121634992941417,0.002932182800653458,0.0025890540221750412,Romania
0.004561003420752566,0.010545535112537134,0.006604392689090884,0.009951639537626799,Denmark
0.00798175598631699,0.013452488252127725,0.008203130454209078,0.012751238499646144,Sweden
0.02508551881413911,0.0407205438995164,0.018514639969840405,0.041899622552488795,Japan
0.0034207525655644243,0.00625354524163323,0.0039235398427791505,0.006066289219155461,Norway
0.002280501710376283,0.010354135564240068,0.017530264315335317,0.011367067704647323,Turkey
0.0034207525655644243,0.007797501597896229,0.010493025593767018,0.007262326020287804,Israel
0.0,0.0035461116311765505,0.004174869797120876,0.0032543052606746874,Chile
0.0,0.007327702706621612,0.005194152389728982,0.007744751120547299,Russia
0.011402508551881414,0.011414373062079574,0.01061869057093788,0.010971927341354094,Belgium
0.0011402508551881414,0.0002296794579564792,0.00025132995434172495,0.00018400566171266808,Mozambique
0.01710376282782212,0.03785071067232281,0.07315796087630377,0.038365770228827555,Italy
0.0,0.00021807948533241462,0.0004607715829598291,0.0002323661240858693,Bosnia and Herzegovina
0.0034207525655644243,0.011301853327626147,0.00899202725533727,0.014744633168200048,Poland
0.0,0.0009523577524357043,0.0007749340258869853,0.0010598018400566171,Lithuania
0.002280501710376283,0.005762866399635297,0.0028204805987238025,0.005295470629865534,Finland
0.010262257696693273,0.028197213454576247,0.03417389240285399,0.028829912715263032,Spain
0.00798175598631699,0.02264662655396133,0.022675546991720075,0.021741566407171502,Brazil
0.004561003420752566,0.012190411230629496,0.018305198341222302,0.012393253125737202,Iran
0.0011402508551881414,0.008000501118817359,0.007693489157905025,0.007742392073602265,Austria
0.005701254275940707,0.02155854912182407,0.03744816319691702,0.02438428874734607,India
0.0011402508551881414,0.002336234486486612,0.004000335106605789,0.0022988912479358337,Colombia
0.002280501710376283,0.006251225247108417,0.007288568675910024,0.005816820004718094,Mexico
0.0034207525655644243,0.0014383966053840114,0.0013753333612588838,0.001493866477942911,Vietnam
0.0011402508551881414,0.0005683986585791657,0.0006841759868191402,0.0005042462845010616,Uruguay
0.04903078677309008,0.02469866171115836,0.013460115332523493,0.025438192970040102,South Korea
0.01596351197263398,0.010249735810623486,0.007002331783465282,0.010573248407643312,Taiwan
0.004561003420752566,0.004949708318688368,0.006457783549058211,0.004768223637650389,South Africa
0.004561003420752566,0.004776868726589805,0.006646281014814504,0.004789455060155697,Ireland
0.0,6.031985764513596e-05,7.679526382663819e-05,3.77447511205473e-05,Nicaragua
0.0011402508551881414,0.0020984350476932873,0.0051173571259023444,0.001970983722576079,Peru
