Tau,LCI,UCI,month
0.20746054519368723,0.1435355864297016,0.2713855039576773,2019-01
0.20966044954567192,0.14454618824687498,0.2747747108444611,2019-02
0.23582018173122907,0.1703536168585077,0.3012867466039498,2019-03
0.15088474414155906,0.09328301676668786,0.20848647151642702,2019-04
0.24830224772835963,0.18053505261967684,0.3160694428370363,2019-05
0.20019129603060737,0.13645639271405074,0.26392619934716466,2019-06
0.2601626016260163,0.19413199366330408,0.32619320958873105,2019-07
0.1662362505978001,0.10619361074354275,0.22627889045205593,2019-08
0.20095648015303683,0.13828905045911108,0.2636239098469615,2019-09
0.24351984696317552,0.17627993190744384,0.3107597620189071,2019-10
0.260832137733142,0.18908322307127395,0.3325810523949902,2019-11
0.23854615016738404,0.16997587886929122,0.30711642146548507,2019-12
0.38474414155906267,0.31372599928719364,0.4557622838309388,2020-01
0.509325681492109,0.44374518861219336,0.5749061743720186,2020-02
0.6814921090387375,0.6273796182667912,0.7356045998107092,2020-03
0.7796747967479675,0.7399103886977864,0.8194392047981668,2020-04
0.7661884265901483,0.7230179343559987,0.8093589188243505,2020-05
0.7848876135820182,0.745609994641382,0.8241652325226597,2020-06
0.7309421329507413,0.6832576609977028,0.7786266049037787,2020-07
0.7319942611190817,0.6843995651652834,0.7795889570728318,2020-08
0.7371592539454807,0.689135674567333,0.7851828333236403,2020-09
0.7523672883787661,0.7055993912636381,0.7991351854938665,2020-10
0.7381157340985175,0.6904116641176772,0.7858198040793574,2020-11
0.7429937828790053,0.6995538732384176,0.7864336925195942,2020-12
0.7614060258249641,0.7193020894709361,0.8035099621789432,2021-01
0.7326159732185558,0.6835169223578224,0.7817150240792927,2021-02
0.738546150167384,0.6881640435882476,0.78892825674653,2021-03
0.7466284074605452,0.6961317277171226,0.7971250872039795,2021-04
0.7458632233381157,0.6991848467636135,0.7925415999126249,2021-05
0.7564323290291727,0.7098071806525746,0.8030574774057541,2021-06
0.7736967957914873,0.7327365943664695,0.8146569972164811,2021-07
0.7801530368244859,0.7391245436927923,0.8211815299561894,2021-08
0.74701099952176,0.6971344898629189,0.7968875091806286,2021-09
0.7315638450502152,0.6766841169235136,0.7864435731769084,2021-10
