corona_pre,corona_post,others_pre,others_post
0.0,3.0,7.0,9.0
0.0,9.0,41.0,26.0
0.0,7.0,11.0,22.0
0.0,4.0,87.0,49.0
0.0,7.0,85.0,34.0
0.0,5.0,24.0,18.0
0.0,6.0,70.0,41.0
0.0,3.0,26.0,19.0
0.0,6.0,25.0,17.0
0.0,0.0,13.0,2.0
0.0,1.0,5.0,9.0
0.0,0.0,8.0,1.0
0.0,2.0,17.0,11.0
0.0,9.0,17.0,15.0
0.0,0.0,23.0,19.0
0.0,0.0,3.0,0.0
0.0,0.0,5.0,10.0
0.0,1.0,3.0,0.0
0.0,0.0,1.0,1.0
0.0,48.0,91.0,268.0
0.0,1.0,0.0,3.0
0.0,0.0,0.0,1.0
